epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.9925,1.69744,3.8813,1.48538,0.00844,0.65,0.01296,0.00566,1.31849,3.81276,1.27421,2.5e-05,2.5e-05,2.5e-05
2,66.8868,1.65769,3.73669,1.46619,0.00811,0.6201,0.02906,0.01292,1.26835,3.77549,1.22604,5.94062e-05,5.94062e-05,5.94062e-05
3,98.0068,1.50376,3.50452,1.41928,0.0106,0.725,0.06907,0.03594,1.28268,3.70616,1.1921,9.01e-05,9.01e-05,9.01e-05
4,129.074,1.51086,3.17604,1.3414,0.01587,0.66471,0.08557,0.04182,1.27921,3.65642,1.18165,0.000117081,0.000117081,0.000117081
5,161.124,1.50766,2.64986,1.33826,0.02117,0.55711,0.07735,0.0363,1.28918,3.58757,1.19273,0.00014035,0.00014035,0.00014035
6,195.884,1.52415,2.20424,1.36123,0.02543,0.58652,0.076,0.03371,1.27026,3.53627,1.20284,0.000159906,0.000159906,0.000159906
7,228.617,1.50974,1.97983,1.34122,0.03652,0.59387,0.07151,0.0347,1.25036,3.43899,1.21116,0.00017575,0.00017575,0.00017575
8,262.648,1.45927,1.80421,1.32752,0.04026,0.59828,0.07055,0.03572,1.23701,3.39283,1.20883,0.000187881,0.000187881,0.000187881
9,294.978,1.43684,1.76069,1.29932,0.04403,0.60172,0.06743,0.03654,1.23059,3.31843,1.20143,0.0001963,0.0001963,0.0001963
10,326.17,1.46469,1.82508,1.34614,0.04257,0.59975,0.0632,0.03584,1.21309,3.30897,1.2005,0.000201006,0.000201006,0.000201006
11,356.682,1.42375,2.03449,1.33138,0.02993,0.57672,0.05405,0.03122,1.19803,3.34765,1.21595,0.000202,0.000202,0.000202
12,386.825,1.45457,1.98974,1.35893,0.02544,0.56887,0.05258,0.02941,1.20831,3.38317,1.23597,0.000199281,0.000199281,0.000199281
13,416.823,1.36458,1.87642,1.30779,0.0243,0.57181,0.05859,0.03213,1.22541,3.35536,1.2501,0.00019285,0.00019285,0.00019285
14,447.16,1.35517,1.85415,1.30672,0.02544,0.58309,0.06667,0.03748,1.21771,3.30038,1.24152,0.000182706,0.000182706,0.000182706
15,477.502,1.33101,1.85625,1.2785,0.03348,0.63701,0.11666,0.05214,1.20146,3.12611,1.20402,0.00016885,0.00016885,0.00016885
16,507.745,1.30631,1.74388,1.24265,0.03641,0.74583,0.12932,0.06047,1.19376,3.03624,1.1864,0.000151281,0.000151281,0.000151281
17,537.946,1.32384,1.7171,1.28392,0.0368,0.76691,0.15295,0.07087,1.17026,2.90217,1.16851,0.00013,0.00013,0.00013
18,568.045,1.30581,1.72451,1.26754,0.81681,0.125,0.16132,0.07951,1.16111,2.8385,1.16253,0.000105006,0.000105006,0.000105006
19,598.532,1.31527,1.77232,1.2681,0.83712,0.10245,0.1736,0.0872,1.15976,2.7805,1.16033,7.63e-05,7.63e-05,7.63e-05
20,628.838,1.27027,1.70922,1.25747,0.85883,0.08333,0.19077,0.09617,1.16086,2.73041,1.16212,4.38813e-05,4.38813e-05,4.38813e-05
