iter	RMSE
0	0.04944347826
1	0.04912826823
2	0.048849906
3	0.04846390432
4	0.04819481111
5	0.04786547547
6	0.04767132923
7	0.04744296054
8	0.04713472693
9	0.04702602284
10	0.04691442613
11	0.04667604954
12	0.04645530264
13	0.04624309698
14	0.0460217613
15	0.04579223419
16	0.04565259199
17	0.04550462532
18	0.04534443457
19	0.04502255818
20	0.04486118237
21	0.04460016411
22	0.0442660344
23	0.04415023264
24	0.0439261438
25	0.04367268704
26	0.04333395418
27	0.04323630169
28	0.04304480181
29	0.04276575394
30	0.04256698365
31	0.04212047951
32	0.04188365567
33	0.04156342492
34	0.04127498626
35	0.04107812349
36	0.04081977643
37	0.04050373765
38	0.04020468567
39	0.04008415465
40	0.03979311637
41	0.03968694983
42	0.03960686975
43	0.03943016398
44	0.03924309624
45	0.0390062481
46	0.03898810225
47	0.03872502829
48	0.03842876284
49	0.03841217748
50	0.03824311739
51	0.03802751233
52	0.03784189785
53	0.03782060822
54	0.03773117463
55	0.03755389262
56	0.03741473597
57	0.03705800776
58	0.03690611752
59	0.0366209617
60	0.03644053864
61	0.03622254609
62	0.03620806767
63	0.03597910648
64	0.03577721655
65	0.03562889029
66	0.03527645859
67	0.03500453692
68	0.03489278654
69	0.0346854067
70	0.03444834162
71	0.03418754548
72	0.03395490209
73	0.03365180006
74	0.03348423332
75	0.03337847108
76	0.03325338276
77	0.03310465111
78	0.03276901755
79	0.03265007123
80	0.03248508531
81	0.03235222819
82	0.03233977787
83	0.0323322784
84	0.03210663865
85	0.03198699481
86	0.03177938615
87	0.0315711324
88	0.03142497367
89	0.0311878058
90	0.03117361806
91	0.03107142954
92	0.03097207625
93	0.03088082386
94	0.03078049957
95	0.03061355041
96	0.03055330692
97	0.03048349385
98	0.03041678185
99	0.03008194711
