epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.4714,1.66798,3.87973,1.42896,0.00886,0.60882,0.01402,0.0058,1.32888,3.80618,1.27683,2.5e-05,2.5e-05,2.5e-05
2,70.926,1.67761,3.77792,1.42917,0.01026,0.60956,0.09328,0.03701,1.2985,3.75206,1.24216,6.12625e-05,6.12625e-05,6.12625e-05
3,104.965,1.49754,3.50121,1.34642,0.01342,0.59975,0.16435,0.06091,1.29267,3.68757,1.21148,9.604e-05,9.604e-05,9.604e-05
4,137.895,1.57158,3.10592,1.37028,0.01834,0.56422,0.16465,0.08591,1.31498,3.60442,1.19001,0.000129332,0.000129332,0.000129332
5,169.695,1.48714,2.57703,1.33299,0.02577,0.58578,0.16972,0.0969,1.33471,3.49924,1.20279,0.00016114,0.00016114,0.00016114
6,200.652,1.43318,2.07661,1.31555,0.0304,0.57745,0.15924,0.08979,1.29976,3.42369,1.19724,0.000191463,0.000191463,0.000191463
7,232.387,1.45195,1.97578,1.34848,0.03804,0.56422,0.10701,0.05698,1.27202,3.35293,1.20715,0.0002203,0.0002203,0.0002203
8,265.234,1.4412,1.77016,1.30768,0.04243,0.56324,0.10457,0.05755,1.25842,3.3204,1.20391,0.000247653,0.000247653,0.000247653
9,298.016,1.46485,2.09343,1.39714,0.043,0.60515,0.06653,0.03307,1.24841,3.30749,1.20927,0.00027352,0.00027352,0.00027352
10,329.984,1.40673,1.8537,1.34805,0.0392,0.53333,0.05568,0.02893,1.22559,3.30098,1.20612,0.000297903,0.000297903,0.000297903
